item,month,sales,inventory,orders,order size,turnover
Lawn Chairs,Jan,5,50,0,20,0.1000
Lawn Chairs,Feb,8,45,0,20,0.1778
Lawn Chairs,Mar,12,37,0,20,0.3243
Lawn Chairs,Apr,12,25,1,20,0.4800
Lawn Chairs,May,23,33,1,20,0.6970
Lawn Chairs,Jun,45,30,2,20,1.5000
Lawn Chairs,Jul,50,25,2,20,2.0000
Lawn Chairs,Aug,43,15,2,20,2.8667
Lawn Chairs,Sep,37,12,2,20,3.0833
Lawn Chairs,Oct,12,15,2,20,0.8000
Lawn Chairs,Nov,10,43,1,20,0.2326
Lawn Chairs,Dec,8,53,0,20,0.1509
Umbrellas,Jan,20,75,0,25,0.2667
Umbrellas,Feb,35,55,0,25,0.6364
Umbrellas,Mar,60,20,5,25,3.0000
Umbrellas,Apr,70,85,1,25,0.8235
Umbrellas,May,60,40,2,25,1.5000
Umbrellas,Jun,64,30,2,25,2.1333
Umbrellas,Jul,67,16,5,25,4.1875
Umbrellas,Aug,70,74,2,25,0.9459
Umbrellas,Sep,57,54,2,25,1.0556
Umbrellas,Oct,43,47,4,25,0.9149
Umbrellas,Nov,22,104,0,25,0.2115
Umbrellas,Dec,12,82,0,25,0.1463
Coolers,Jan,0,100,0,10,0.0000
Coolers,Feb,0,100,0,10,0.0000
Coolers,Mar,12,100,0,10,0.1200
Coolers,Apr,54,88,0,10,0.6136
Coolers,May,57,34,8,10,1.6765
Coolers,Jun,69,57,8,10,1.2105
Coolers,Jul,78,68,6,10,1.1471
Coolers,Aug,67,50,6,10,1.3400
Coolers,Sep,59,43,6,10,1.3721
Coolers,Oct,35,44,6,10,0.7955
Coolers,Nov,28,69,0,10,0.4058
Coolers,Dec,4,41,0,10,0.0976
Crossbows,Jan,23,50,0,5,0.4600
Crossbows,Feb,42,27,5,5,1.5556
Crossbows,Mar,34,10,6,5,3.4000
Crossbows,Apr,45,6,10,5,7.5000
Crossbows,May,34,11,10,5,3.0909
Crossbows,Jun,54,27,10,5,2.0000
Crossbows,Jul,65,23,10,5,2.8261
Crossbows,Aug,34,8,10,5,4.2500
Crossbows,Sep,65,24,10,5,2.7083
Crossbows,Oct,49,9,10,5,5.4444
Crossbows,Nov,34,10,10,5,3.4000
Crossbows,Dec,142,26,0,5,5.4615
Waffle Irons,Jan,43,200,0,20,0.2150
Waffle Irons,Feb,112,157,0,20,0.7134
Waffle Irons,Mar,65,45,3,20,1.4444
Waffle Irons,Apr,67,40,2,20,1.6750
Waffle Irons,May,65,13,3,20,5.0000
Waffle Irons,Jun,56,8,3,20,7.0000
Waffle Irons,Jul,45,12,3,20,3.7500
Waffle Irons,Aug,34,27,3,20,1.2593
Waffle Irons,Sep,45,53,2,20,0.8491
Waffle Irons,Oct,12,48,0,20,0.2500
Waffle Irons,Nov,29,36,0,20,0.8056
Waffle Irons,Dec,98,7,0,20,14.0000
Pool Noodles,Jan,55,200,0,50,0.2750
Pool Noodles,Feb,76,145,0,50,0.5241
Pool Noodles,Mar,98,69,1,50,1.4203
Pool Noodles,Apr,56,21,2,50,2.6667
Pool Noodles,May,76,65,3,50,1.1692
Pool Noodles,Jun,46,139,3,50,0.3309
Pool Noodles,Jul,67,243,2,50,0.2757
Pool Noodles,Aug,54,276,0,50,0.1957
Pool Noodles,Sep,90,222,0,50,0.4054
Pool Noodles,Oct,26,132,0,50,0.1970
Pool Noodles,Nov,56,106,0,50,0.5283
Pool Noodles,Dec,76,50,0,50,1.5200
Flippy Floppies,Jan,87,200,0,100,0.4350
Flippy Floppies,Feb,67,113,0,100,0.5929
Flippy Floppies,Mar,90,46,1,100,1.9565
Flippy Floppies,Apr,78,56,1,100,1.3929
Flippy Floppies,May,86,78,1,100,1.1026
Flippy Floppies,Jun,68,92,1,100,0.7391
Flippy Floppies,Jul,56,124,1,100,0.4516
Flippy Floppies,Aug,90,168,1,100,0.5357
Flippy Floppies,Sep,67,178,1,100,0.3764
Flippy Floppies,Oct,78,211,1,100,0.3697
Flippy Floppies,Nov,45,233,0,100,0.1931
Flippy Floppies,Dec,65,188,0,100,0.3457
